Callsign,Frequency,,,,,,,,,,
W2NAF,15 MHz,,,,,,,,,,
Hour (UTC),Date,Date,Date,Date,Date,Date,Date,,,,
Date,5/8/2024,5/9/2024,5/14/2024,5/20/2024,5/25/2024,5/28/2024,5/29/2024,,,,
Hour (UTC),Doppler (Hz),Doppler (Hz),Doppler (Hz),Doppler (Hz),Doppler (Hz),Doppler (Hz),Doppler (Hz),AVG Doppler (Hz),STDEV,AVG - STDEV,AVG + STDEV
1.56667,-0.269510001,0.210109994,-0.499879986,-0.577600002,-0.552839994,-0.225649998,-0.227469996,-0.306119998,0.274654335,-0.580774333,-0.031465663
1.58333,-0.303350002,0.1373,-0.321539998,-0.570259988,-0.450390011,-0.266339988,-0.133699998,-0.272611426,0.227633422,-0.500244849,-0.044978004
1.6,-0.341300011,0.11688,-0.347449988,-0.49605,-0.462960005,-0.161420003,-0.175060004,-0.266765716,0.212061503,-0.478827219,-0.054704213
1.61667,-0.267390013,0.071539998,-0.103820004,-0.514940023,-0.421700001,-0.213980004,-0.170959994,-0.231607149,0.195750591,-0.42735774,-0.035856557
1.63333,-0.284979999,0.105319999,-0.105719998,-0.467209995,-0.339100003,-0.171670005,-0.14474,-0.201157143,0.184358119,-0.385515262,-0.016799024
1.65,-0.227329999,0.087360002,-0.158189997,-0.342209995,-0.129350007,0.037999999,-0.294970006,-0.14667,0.161266115,-0.307936116,0.014596115
1.66667,-0.271200001,-0.076370001,-0.236860007,-0.290719986,-0.371630013,0.050779998,-0.377510011,-0.224787146,0.157849637,-0.382636783,-0.066937509
1.68333,-0.297120005,-0.005,-0.133770004,-0.276059985,-0.581139982,0.00956,-0.448280007,-0.247401426,0.220879531,-0.468280957,-0.026521895
1.7,-0.314200014,-0.048,-0.208289996,-0.180000007,-0.624239981,0.101549998,-0.288929999,-0.223158571,0.227918347,-0.451076919,0.004759776
1.71667,-0.287889987,-0.297980011,-0.322420001,-0.166730002,-0.557009995,0.15038,-0.119410001,-0.228722857,0.217700212,-0.446423068,-0.011022645
1.73333,-0.309350014,-0.16279,-0.34483999,-0.191599995,-0.37579,0.138720006,-0.122110002,-0.195394285,0.176041152,-0.371435437,-0.019353133
1.75,-0.268750012,-0.137140006,-0.324010015,-0.211960003,-0.457910001,0.151380002,-0.042289998,-0.184382862,0.19889282,-0.383275682,0.014509958
1.76667,-0.245920002,-0.199860007,-0.245250002,-0.202920005,-0.476740003,0.100579999,-0.00584,-0.182278574,0.185561258,-0.367839832,0.003282684
1.78333,-0.381760001,-0.206200004,-0.367720008,-0.196869999,-0.428140014,0.03441,-0.036279999,-0.226080004,0.178070175,-0.404150178,-0.048009829
1.8,-0.253129989,-0.253190011,-0.366019994,-0.186550006,-0.341239989,-0.104520001,-0.152020007,-0.236667142,0.096048081,-0.332715223,-0.140619062
1.81667,-0.279650003,-0.251630008,-0.243640006,-0.211510003,-0.325419992,-0.05271,-0.142350003,-0.215272859,0.091434795,-0.306707654,-0.123838065
1.83333,-0.32991001,-0.267540008,-0.377530009,-0.188549995,-0.286049992,-0.02593,-0.147839993,-0.231907144,0.119989889,-0.351897033,-0.111917255
1.85,-0.301479995,-0.350279987,-0.394019991,-0.186989993,-0.300040007,-0.105760001,-0.219600007,-0.265452854,0.099983406,-0.36543626,-0.165469448
1.86667,-0.34928,-0.424840003,-0.26049,-0.102949999,-0.318720013,0.058060002,-0.342680007,-0.248700003,0.168503435,-0.417203438,-0.080196568
1.88333,-0.334710002,-0.364179999,-0.141739994,-0.173639998,-0.370220006,-0.00723,-0.360359997,-0.250297142,0.14337176,-0.393668902,-0.106925383
1.9,-0.323060006,-0.147129998,-0.05703,-0.18344,-0.351489991,0.154359996,-0.32949999,-0.176755713,0.182648136,-0.359403849,0.005892424
1.91667,-0.214049995,-0.01,-0.024700001,-0.221149996,-0.294840008,0.166010007,-0.299510002,-0.128319999,0.175294443,-0.303614442,0.046974444
1.93333,-0.175940007,0.245049998,-0.040199999,-0.171780005,-0.366380006,0.087930001,-0.10633,-0.075378574,0.198169689,-0.273548263,0.122791115
1.95,-0.211410001,0.105930001,-0.109930001,-0.208230004,-0.42276001,0.182909995,-0.00533,-0.095545717,0.208033373,-0.30357909,0.112487656
1.96667,-0.265430003,0.190530002,-0.151500002,-0.145199999,-0.428310007,0.154060006,-0.207149997,-0.121857143,0.222463849,-0.344320992,0.100606706
1.98333,-0.218930006,0.195570007,-0.135810003,-0.148220003,-0.439500004,0.04239,-0.00615,-0.10152143,0.203895514,-0.305416944,0.102374085
2,-0.234239995,-0.175549999,-0.180999994,-0.150889993,-0.367810011,0.0284,0.062479999,-0.145515713,0.14887675,-0.294392463,0.003361037
2.01667,-0.230220005,-0.229489997,-0.209429994,-0.178080007,-0.479589999,0.0017,0.016070001,-0.187005714,0.166688363,-0.353694077,-0.020317352
2.03333,-0.223340005,-0.197019994,-0.241219997,-0.166510001,-0.487940013,-0.120889999,0.018200001,-0.202674287,0.152808882,-0.355483169,-0.049865405
2.05,-0.181360006,-0.257490009,-0.274150014,-0.211909994,-0.486530006,-0.094530001,0.05525,-0.207245719,0.166983556,-0.374229275,-0.040262163
2.06667,-0.153850004,-0.188700005,-0.244859993,-0.218419999,-0.551119983,-0.127869993,0.078199998,-0.200945712,0.187299309,-0.38824502,-0.013646403
2.08333,-0.157340005,-0.118539996,-0.211899996,-0.249239996,-0.520190001,-0.151940003,0.117619999,-0.184504285,0.189321084,-0.37382537,0.004816799
2.1,-0.166930005,-0.067819998,-0.203199998,-0.231739998,-0.636349976,-0.219280005,0.105769999,-0.202792854,0.225017243,-0.427810097,0.022224389
2.11667,-0.180899993,-0.024700001,-0.144250005,-0.217370003,-0.536970019,-0.253910005,0.054790001,-0.186187146,0.189095277,-0.375282423,0.00290813
2.13333,-0.159290001,0.00643,0.27719,-0.177750006,-0.602580011,-0.314709991,-0.01829,-0.141285716,0.27585987,-0.417145586,0.134574155
2.15,-0.146469995,-0.050530002,0.239600003,-0.140080005,-0.551829994,-0.333240002,-0.128739998,-0.158755713,0.243841787,-0.4025975,0.085086074
2.16667,-0.093199998,-0.037870001,0.134430006,-0.154469997,-0.540069997,-0.282519996,-0.317440003,-0.184448569,0.218390005,-0.402838574,0.033941435
2.18333,-0.06617,-0.045000002,-0.155039996,-0.127910003,-0.084720001,-0.405330002,-0.129570007,-0.144820002,0.121278113,-0.266098115,-0.023541888
